Year,NUTS 3 Region,SectorAgg,GVA,PersonsAtWork,Productivity
2003,Border,Knowledge & Professional Services,973.15,14.379999999999999,67673.85257301808
2003,Border,Public Services,1327.88,32.69,40620.37320281432
2003,Dublin,Agriculture & Fishing,67.27,2.72,24731.617647058825
2003,Dublin,Arts & Other Services,1302.75,32.27,40370.31298419584
2003,Dublin,Distribution & Hospitality,8953.74,172.08,52032.426778242676
2003,Dublin,Industry,13736.679999999998,113.83,120677.15013616795
2003,Dublin,Knowledge & Professional Services,25715.34,180.66,142341.08269677847
2003,Dublin,Public Services,7311.67,137.51,53171.91476983492
2003,Ireland,Agriculture & Fishing,2154.54,116.96,18421.169630642955
2003,Ireland,Arts & Other Services,2877.99,90.8,31695.925110132157
2003,Ireland,Distribution & Hospitality,20263.9,479.95,42220.856339202
2003,Ireland,Industry,46961.63,480.11,97814.31338651558
2003,Ireland,Knowledge & Professional Services,37696.14,329.7,114334.66787989081
2003,Ireland,Public Services,19032.69,387.21,49153.405128999766
2003,Mid-East,Agriculture & Fishing,278.76,12.83,21727.201870615743
2003,Mid-East,Arts & Other Services,412.29,11.52,35789.0625
2003,Mid-East,Distribution & Hospitality,1834.65,48.9,37518.40490797546
2003,Mid-East,Industry,6408.37,68.91,92996.22696270498
2003,Mid-East,Knowledge & Professional Services,2250.27,26.12,86151.22511485452
2003,Mid-East,Public Services,1610.04,39.1,41177.49360613811
2003,Mid-West,Agriculture & Fishing,342.36,17.49,19574.614065180103
2003,Mid-West,Arts & Other Services,217.34,10.0,21734.0
2003,Mid-West,Distribution & Hospitality,1457.25,50.59,28805.09982209923
2003,Mid-West,Industry,4879.3,56.91,85737.12879985943
2003,Mid-West,Knowledge & Professional Services,1735.76,23.61,73518.0008470987
2003,Mid-West,Public Services,1807.38,39.12,46200.920245398775
2003,Midlands,Agriculture & Fishing,147.54,8.77,16823.26111744584
2003,Midlands,Arts & Other Services,103.3,3.76,27473.40425531915
2003,Midlands,Distribution & Hospitality,789.32,21.76,36273.89705882353
2003,Midlands,Industry,1748.32,25.759999999999998,67869.56521739131
2003,Midlands,Knowledge & Professional Services,695.98,9.36,74356.83760683761
2003,Midlands,Public Services,941.03,20.52,45859.16179337232
2003,South-East,Agriculture & Fishing,322.05,16.52,19494.55205811138
2003,South-East,Arts & Other Services,186.52,7.22,25833.795013850417
2003,South-East,Distribution & Hospitality,1200.7,39.69,30251.952632905013
2003,South-East,Industry,3345.38,45.97,72773.1128997172
2003,South-East,Knowledge & Professional Services,1170.73,17.59,66556.56623081297
2003,South-East,Public Services,1377.73,30.06,45832.667997338656
2003,South-West,Agriculture & Fishing,539.88,21.64,24948.243992606283
2003,South-West,Arts & Other Services,321.55,12.35,26036.437246963564
2003,South-West,Distribution & Hospitality,3870.3,69.65,55567.8391959799
2003,South-West,Industry,10403.5,79.23,131307.58551053895
2003,South-West,Knowledge & Professional Services,3367.49,36.92,91210.45503791983
2003,South-West,Public Services,2823.01,53.24,53024.229902329076
2003,West,Agriculture & Fishing,193.57,19.35,10003.61757105943
2003,West,Arts & Other Services,190.81,7.97,23941.02885821832
2003,West,Distribution & Hospitality,1293.34,42.27,30597.113792287673
2003,West,Industry,3962.61,46.71,84834.29672447013
2003,West,Knowledge & Professional Services,1787.4,21.08,84791.27134724858
2003,West,Public Services,1833.95,34.97,52443.5230197312
2004,Border,Agriculture & Fishing,301.08,18.58,16204.520990312163
2004,Border,Arts & Other Services,147.16,7.75,18988.387096774193
2004,Border,Distribution & Hospitality,905.32,36.9,24534.417344173442
2004,Border,Industry,2508.9700000000003,44.47,56419.3838542838
2004,Border,Knowledge & Professional Services,1055.5,15.79,66846.10512982901
2004,Border,Public Services,1438.59,35.18,40892.268334280845
2004,Dublin,Agriculture & Fishing,77.26,1.23,62813.0081300813
2004,Dublin,Arts & Other Services,1366.13,35.35,38645.827439886845
2004,Dublin,Distribution & Hospitality,9447.25,178.49,52928.735503389544
2004,Dublin,Industry,14085.240000000002,111.36,126483.83620689657
2004,Dublin,Knowledge & Professional Services,28546.89,184.57,154667.00980657744
2004,Dublin,Public Services,8056.51,140.17,57476.70685596062
2004,Ireland,Agriculture & Fishing,2459.67,115.44,21306.912681912683
2004,Ireland,Arts & Other Services,3022.09,100.92,29945.402298850575
2004,Ireland,Distribution & Hospitality,21313.74,486.4,43819.36677631579
2004,Ireland,Industry,48075.08,494.6,97199.91912656692
2004,Ireland,Knowledge & Professional Services,41587.68,350.7,118584.7733105218
2004,Ireland,Public Services,20970.92,398.1,52677.51821150465
2004,Mid-East,Agriculture & Fishing,318.83,12.28,25963.355048859936
2004,Mid-East,Arts & Other Services,432.57,12.85,33663.03501945525
2004,Mid-East,Distribution & Hospitality,1933.81,50.11,38591.299141887845
2004,Mid-East,Industry,6417.08,69.59,92212.67423480385
2004,Mid-East,Knowledge & Professional Services,2433.12,28.13,86495.55634553857
2004,Mid-East,Public Services,1769.4,39.54,44749.62063732929
2004,Mid-West,Agriculture & Fishing,390.51,19.57,19954.522227899848
2004,Mid-West,Arts & Other Services,230.21,10.12,22748.02371541502
2004,Mid-West,Distribution & Hospitality,1517.57,52.24,29049.961715160796
2004,Mid-West,Industry,4925.99,61.72,79811.89241736876
2004,Mid-West,Knowledge & Professional Services,1854.34,25.47,72804.868472713
2004,Mid-West,Public Services,1986.02,39.67,50063.52407360726
2004,Midlands,Agriculture & Fishing,167.67,7.93,21143.7578814628
2004,Midlands,Arts & Other Services,108.87,4.48,24301.339285714286
2004,Midlands,Distribution & Hospitality,845.97,21.79,38823.772372648
2004,Midlands,Industry,1831.34,28.35,64597.53086419753
2004,Midlands,Knowledge & Professional Services,751.24,10.81,69494.91211840889
2004,Midlands,Public Services,1030.38,20.83,49466.154584733566
2004,South-East,Agriculture & Fishing,368.46,15.32,24050.913838120105
2004,South-East,Arts & Other Services,201.15,7.88,25526.649746192892
2004,South-East,Distribution & Hospitality,1255.58,37.65,33348.73837981408
2004,South-East,Industry,3431.18,46.849999999999994,73237.56670224121
2004,South-East,Knowledge & Professional Services,1276.1599999999999,19.51,65410.55868785237
2004,South-East,Public Services,1521.61,27.79,54753.8682979489
2004,South-West,Agriculture & Fishing,615.65,21.56,28555.194805194806
2004,South-West,Arts & Other Services,335.16,14.27,23487.035739313244
2004,South-West,Distribution & Hospitality,4052.61,67.85,59728.96094325718
2004,South-West,Industry,10591.859999999999,81.46000000000001,130025.28848514604
2004,South-West,Knowledge & Professional Services,3716.75,43.21,86015.96852580422
2004,South-West,Public Services,3091.72,58.5,52849.91452991453
2004,West,Agriculture & Fishing,220.2,18.98,11601.685985247628
2004,West,Arts & Other Services,200.83,8.2,24491.463414634145
2004,West,Distribution & Hospitality,1355.61,41.37,32767.947788252357
2004,West,Industry,4283.4400000000005,50.82,84286.50137741047
2004,West,Knowledge & Professional Services,1953.67,23.21,84173.63205514864
2004,West,Public Services,2076.68,36.41,57035.97912661356
2005,Border,Agriculture & Fishing,215.03,19.52,11015.881147540984
2005,Border,Arts & Other Services,142.89,7.32,19520.491803278688
2005,Border,Distribution & Hospitality,1023.87,38.3,26732.89817232376
2005,Border,Industry,2855.3500000000004,47.18,60520.34760491735
2005,Border,Knowledge & Professional Services,1203.32,16.39,73417.93776693105
2005,Border,Public Services,1565.05,33.55,46648.28614008942
2005,Dublin,Agriculture & Fishing,54.98,1.41,38992.90780141844
2005,Dublin,Arts & Other Services,1426.03,36.19,39403.97899972368
2005,Dublin,Distribution & Hospitality,10392.93,178.81,58122.75599798669
2005,Dublin,Industry,14934.37,114.53999999999999,130385.62947441943
2005,Dublin,Knowledge & Professional Services,32073.079999999998,198.31,161732.03570167918
2005,Dublin,Public Services,8607.24,151.33,56877.2880459922
2005,Ireland,Agriculture & Fishing,1760.2,112.7,15618.456078083407
2005,Ireland,Arts & Other Services,3207.26,99.43,32256.461832444937
2005,Ireland,Distribution & Hospitality,23680.88,506.33,46769.65615310173
2005,Ireland,Industry,51150.270000000004,515.72,99182.25005817112
2005,Ireland,Knowledge & Professional Services,47038.39,378.44,124295.50258957827
2005,Ireland,Public Services,22685.68,424.39,53454.79393953675
2005,Mid-East,Agriculture & Fishing,227.41,12.92,17601.39318885449
2005,Mid-East,Arts & Other Services,483.33,13.92,34721.98275862069
2005,Mid-East,Distribution & Hospitality,2181.47,54.43,40078.44938453059
2005,Mid-East,Industry,7161.73,74.91,95604.45868375384
2005,Mid-East,Knowledge & Professional Services,2744.3,29.34,93534.4239945467
2005,Mid-East,Public Services,1865.12,42.26,44134.40605773781
2005,Mid-West,Agriculture & Fishing,279.6,18.18,15379.53795379538
2005,Mid-West,Arts & Other Services,241.64,9.44,25597.457627118645
2005,Mid-West,Distribution & Hospitality,1703.82,50.24,33913.61464968153
2005,Mid-West,Industry,5062.26,66.45,76181.48984198646
2005,Mid-West,Knowledge & Professional Services,2214.9500000000003,29.4,75338.43537414967
2005,Mid-West,Public Services,2125.6,43.12,49294.99072356215
2005,Midlands,Agriculture & Fishing,120.17,7.02,17118.23361823362
2005,Midlands,Arts & Other Services,119.14,4.01,29710.72319201995
2005,Midlands,Distribution & Hospitality,909.94,24.42,37262.080262080264
2005,Midlands,Industry,2092.66,30.519999999999996,68566.84141546527
2005,Midlands,Knowledge & Professional Services,875.5799999999999,11.450000000000001,76469.86899563317
2005,Midlands,Public Services,1096.57,21.46,51098.32246039143
2005,South-East,Agriculture & Fishing,262.94,14.29,18400.279916025193
2005,South-East,Arts & Other Services,219.32,7.91,27726.92793931732
2005,South-East,Distribution & Hospitality,1443.17,40.89,35293.959403277084
2005,South-East,Industry,3833.3199999999997,47.8,80194.97907949789
